"","codigo","habitaciones","banios","superficie_total","superficie_construida","estacionamiento","precio","precioPESO","precioUF","fechaPublicacion","categoria","subcategoria","region","Region1","valorUFm2"
"65","5957648","3",NA,90,60,"1","$ 78.000.000"," 78000000","2521.25694355778","2021-12-09","Venta Usada","Casa","region-metropolitana-de-santiago-rm","RM",28.0139660395309
"66","6146828","4",NA,130,132,"1","$ 87.000.000"," 87000000","2812.17120627599","2021-12-09","Venta Usada","Casa","region-metropolitana-de-santiago-rm","RM",21.632086202123
"67","3589486","3",NA,70,NA,"1","$ 83.000.000"," 83000000","2682.87597840123","2021-12-09","Venta Usada","Casa","region-metropolitana-de-santiago-rm","RM",38.3267996914461
"68","4643030","4",NA,300,146,"3","$ 135.000.000"," 135000000","4363.71394077309","2021-12-09","Venta Usada","Casa","region-metropolitana-de-santiago-rm","RM",14.5457131359103
"69","5992530","4",NA,75,55,"1","$ 38.000.000"," 38000000","1228.3046648102","2021-12-09","Venta Usada","Casa","region-metropolitana-de-santiago-rm","RM",16.3773955308027
"70","5340637","3",NA,200,120,"2","$ 94.000.000"," 94000000","3038.43785505682","2021-12-08","Venta Usada","Casa","region-metropolitana-de-santiago-rm","RM",15.1921892752841
"71","5863650","3",NA,150,59,"1","$ 97.000.000"," 97000000","3135.40927596289","2021-12-08","Venta Usada","Casa","region-metropolitana-de-santiago-rm","RM",20.9027285064193
"72","5325483","4",NA,200,138,"4","UF 3.090,00","95595175.5","3090.00","2021-12-07","Venta Usada","Casa","region-metropolitana-de-santiago-rm","RM",15.45
"73","6138658","5",NA,300,137,"4","$ 262.900.000"," 262900000","8497.92885206848","2021-12-07","Venta Usada","Casa","region-metropolitana-de-santiago-rm","RM",28.3264295068949
"74","4966205","3",NA,200,159,"2","UF 5.500,00","170153225","5500.00","2021-12-06","Venta Usada","Casa","region-metropolitana-de-santiago-rm","RM",27.5
"75","5473194","3",NA,200,106,"2","$ 145.000.000"," 145000000","4686.95201045998","2021-12-06","Venta Usada","Casa","region-metropolitana-de-santiago-rm","RM",23.4347600522999
"76","6134236","5",NA,240,165,"1","$ 160.000.000"," 160000000","5171.80911499033","2021-12-06","Venta Usada","Casa","region-metropolitana-de-santiago-rm","RM",21.549204645793
"77","6133857","3",NA,200,75,"2","$ 160.000.000"," 160000000","5171.80911499033","2021-12-06","Venta Usada","Casa","region-metropolitana-de-santiago-rm","RM",25.8590455749517
"78","6018810","5",NA,300,137,"5","UF 8.499,00","262933138.05","8499.00","2021-12-06","Venta Usada","Casa","region-metropolitana-de-santiago-rm","RM",28.33
"79","6118301","6",NA,5000,300,"6","UF 19.500,00","603270525","19500.00","2021-12-02","Venta Usada","Casa","region-metropolitana-de-santiago-rm","RM",3.9
