"","codigo","habitaciones","banios","superficie_total","superficie_construida","estacionamiento","precio","precioPESO","precioUF","fechaPublicacion","categoria","subcategoria","region"
"187","5564925","7",NA,1680,350,NA,"$ 500.000.000"," 500000000","16161.9034843448","2021-08-05","Venta Usada","Casa","v-region-de-valparaiso"
"188","5435700","2",NA,81,62,"2","$ 70.000.000"," 70000000","2262.66648780827","2021-07-30","Venta Usada","Casa","v-region-de-valparaiso"
"189","5385073","10",NA,1015,494,"2","UF 18.000,00","556865100","18000.00","2021-07-07","Venta Usada","Casa","v-region-de-valparaiso"
"190","4861853","4",NA,215,160,"2","$ 260.000.000"," 260000000","8404.18981185928","2021-06-22","Venta Usada","Casa","v-region-de-valparaiso"
"191","5374362","3",NA,266,88,NA,"$ 65.000.000"," 65000000","2101.04745296482","2021-06-18","Venta Usada","Casa","v-region-de-valparaiso"
"192","5325039","4",NA,1300,300,"1","$ 350.000.000"," 350000000","11313.3324390413","2021-06-07","Venta Nueva","Casa","v-region-de-valparaiso"
"193","4935054","4",NA,NA,NA,"5","$ 120.000.000"," 120000000","3878.85683624275","2021-06-06","Venta Usada","Casa","v-region-de-valparaiso"
"194","4863784","3",NA,120,75,"1","UF 2.410,00","74558049.5","2410.00","2021-05-01","Venta Usada","Casa","v-region-de-valparaiso"
"195","4814628","2",NA,330,54,NA,"$ 38.760.000"," 38760000","1252.87075810641","2021-04-13","Venta Usada","Casa","v-region-de-valparaiso"
"196","4869825","3",NA,13000,99,"8","$ 150.000.000"," 150000000","4848.57104530343","2021-02-01","Venta Usada","Casa","v-region-de-valparaiso"
"197","3108432","4",NA,NA,240,"2","$ 230.000.000"," 230000000","7434.47560279859","2020-07-15","Venta Usada","Casa","v-region-de-valparaiso"
"198","3344876","3",NA,60,60,"1","UF 2.150,00","66514442.5","2150.00","2020-02-13","Venta Nueva","Casa","v-region-de-valparaiso"
"199","5887173","3",NA,190,112,"2","UF 4.400,00","136122580","4400.00","2021-12-23","Venta Usada","Casa","v-region-de-valparaiso"
"200","6215597","4",NA,371,107,"3","UF 6.500,00","201090175","6500.00","2021-12-23","Venta Usada","Casa","v-region-de-valparaiso"
"201","5870582","9",NA,170,460,NA,"$ 260.000.000"," 260000000","8404.18981185928","2021-12-23","Venta Usada","Casa","v-region-de-valparaiso"
"202","6215219","3",NA,100,90,"2","$ 95.000.000"," 95000000","3070.76166202551","2021-12-23","Venta Usada","Casa","v-region-de-valparaiso"
"203","5904272","10",NA,395,740,NA,"$ 200.000.000"," 200000000","6464.76139373791","2021-12-23","Venta Usada","Casa","v-region-de-valparaiso"
"204","6214902","14",NA,1575,1575,"7","UF 26.000,00","804360700","26000.00","2021-12-23","Venta Usada","Casa","v-region-de-valparaiso"
"205","5861472","2",NA,700,60,"3","$ 140.000.000"," 140000000","4525.33297561654","2021-12-23","Venta Usada","Casa","v-region-de-valparaiso"
"206","5857900","5",NA,290,200,"2","UF 10.400,00","321744280","10400.00","2021-12-23","Venta Usada","Casa","v-region-de-valparaiso"
"207","5857876","5",NA,230,140,"2","$ 290.000.000"," 290000000","9373.90402091997","2021-12-23","Venta Usada","Casa","v-region-de-valparaiso"
"208","5857845","5",NA,375,170,"5","UF 11.000,00","340306450","11000.00","2021-12-23","Venta Usada","Casa","v-region-de-valparaiso"
"209","6214836","3",NA,180,450,NA,"$ 285.000.000"," 285000000","9212.28498607652","2021-12-23","Venta Usada","Casa","v-region-de-valparaiso"
"210","5861447","3",NA,1067,90,"4","$ 112.000.000"," 112000000","3620.26638049323","2021-12-23","Venta Usada","Casa","v-region-de-valparaiso"
"211","6214819","3",NA,150,400,NA,"$ 210.000.000"," 210000000","6787.9994634248","2021-12-23","Venta Usada","Casa","v-region-de-valparaiso"
"212","5904206","5",NA,450,350,NA,"UF 20.000,00","618739000","20000.00","2021-12-23","Venta Usada","Casa","v-region-de-valparaiso"
"213","5904240","10",NA,240,250,NA,"$ 260.000.000"," 260000000","8404.18981185928","2021-12-23","Venta Usada","Casa","v-region-de-valparaiso"
"214","6214800","4",NA,109,285,"2","$ 250.000.000"," 250000000","8080.95174217239","2021-12-23","Venta Usada","Casa","v-region-de-valparaiso"
"215","5673748","3",NA,120,120,"1","$ 78.000.000"," 78000000","2521.25694355778","2021-12-23","Venta Usada","Casa","v-region-de-valparaiso"
"216","5488142","3",NA,600,NA,"1","UF 18.900,00","584708355","18900.00","2021-12-23","Venta Nueva","Casa","v-region-de-valparaiso"
"217","6214501","4",NA,118,100,"1","$ 115.000.000"," 115000000","3717.2378013993","2021-12-23","Venta Usada","Casa","v-region-de-valparaiso"
"218","6212478","2",NA,48,48,"2","$ 55.000.000"," 55000000","1777.80938327793","2021-12-23","Venta Usada","Casa","v-region-de-valparaiso"
"219","3961069","5",NA,7000,520,"8","$ 500.000.000"," 500000000","16161.9034843448","2021-12-23","Venta Usada","Casa","v-region-de-valparaiso"
"220","5854219","4",NA,360,120,NA,"UF 4.300,00","133028885","4300.00","2021-12-23","Venta Usada","Casa","v-region-de-valparaiso"
"221","6195949","3",NA,180,82,"2","$ 121.000.000"," 121000000","3911.18064321143","2021-12-20","Venta Usada","Casa","x-region-de-los-lagos"
"222","5471836","4",NA,377,133,"2","$ 74.000.000"," 74000000","2391.96171568303","2021-12-20","Venta Usada","Casa","x-region-de-los-lagos"
"223","5732310","5",NA,284,366,NA,"UF 27.334,00","845630591.3","27334.00","2021-12-20","Venta Usada","Casa","x-region-de-los-lagos"
"224","5790117","6",NA,261,180,"1","$ 140.000.000"," 140000000","4525.33297561654","2021-12-20","Venta Usada","Casa","x-region-de-los-lagos"
"225","6181772","5",NA,NA,275,"3","UF 15.000,00","464054250","15000.00","2021-12-16","Venta Nueva","Casa","x-region-de-los-lagos"
"226","6029293","5",NA,327,NA,"1","$ 180.000.000"," 180000000","5818.28525436412","2021-12-08","Venta Usada","Casa","x-region-de-los-lagos"
"227","6134281",NA,NA,NA,140,NA,"UF 5.500,00","170153225","5500.00","2021-12-06","Venta Nueva","Casa","x-region-de-los-lagos"
"228","5933581","2",NA,34,24,NA,"UF 950,00","29390102.5","950.00","2021-12-06","Venta Nueva","Casa","x-region-de-los-lagos"
"229","5082935","3",NA,191,198,"1","$ 140.000.000"," 140000000","4525.33297561654","2021-11-27","Venta Usada","Casa","x-region-de-los-lagos"
"230","5088953","3",NA,5000,100,"8","$ 140.000.000"," 140000000","4525.33297561654","2021-11-27","Venta Nueva","Casa","x-region-de-los-lagos"
"231","5138918","3",NA,117,134,"2","$ 70.000.000"," 70000000","2262.66648780827","2021-11-27","Venta Usada","Casa","x-region-de-los-lagos"
"232","5388870","7",NA,5270,NA,"8","$ 225.000.000"," 225000000","7272.85656795515","2021-11-27","Venta Usada","Casa","x-region-de-los-lagos"
"233","5558299","4",NA,5000,140,"8","UF 8.000,00","247495600","8000.00","2021-11-27","Venta Usada","Casa","x-region-de-los-lagos"
"234","5733382","4",NA,258,117,"2","UF 5.400,00","167059530","5400.00","2021-11-27","Venta Usada","Casa","x-region-de-los-lagos"
"235","5707029","8",NA,330,150,"2","UF 6.800,00","210371260","6800.00","2021-11-25","Venta Usada","Casa","x-region-de-los-lagos"
"236","4581249",NA,NA,305,NA,NA,"UF 3.000,00","92810850","3000.00","2021-11-17","Venta Usada","Casa","x-region-de-los-lagos"
"237","5047006","6",NA,315,200,"1","UF 14.100,00","436210995","14100.00","2021-11-17","Venta Usada","Casa","x-region-de-los-lagos"
"238","4581280","5",NA,305,NA,"1","$ 98.000.000"," 98000000","3167.73308293158","2021-10-19","Venta Usada","Casa","x-region-de-los-lagos"
"239","5465233","6",NA,536,273,"2","$ 260.000.000"," 260000000","8404.18981185928","2021-07-15","Venta Usada","Casa","x-region-de-los-lagos"
"240","6212184","3",NA,107,107,"2","$ 155.000.000"," 155000000","5010.19008014688","2021-12-23","Venta Usada","Casa","x-region-de-los-lagos"
"241","6210849","4",NA,160,60,"1","$ 65.000.000"," 65000000","2101.04745296482","2021-12-23","Venta Usada","Casa","x-region-de-los-lagos"
"242","6210231","2",NA,6067,150,"2","UF 6.090,00","188406025.5","6090.00","2021-12-23","Venta Usada","Casa","x-region-de-los-lagos"
"243","6210207","3",NA,136,98,"3","$ 90.000.000"," 90000000","2909.14262718206","2021-12-23","Venta Usada","Casa","x-region-de-los-lagos"
"244","5580509","3",NA,101,101,"1","$ 47.000.000"," 47000000","1519.21892752841","2021-12-23","Venta Usada","Casa","x-region-de-los-lagos"
"245","6208161","2",NA,70,200,"3","$ 92.000.000"," 92000000","2973.79024111944","2021-12-23","Venta Usada","Casa","x-region-de-los-lagos"
"246","6206417","7",NA,NA,302,"2","$ 120.000.000"," 120000000","3878.85683624275","2021-12-22","Venta Usada","Casa","x-region-de-los-lagos"
"247","5435155",NA,NA,NA,NA,NA,"$ 200.000.000"," 200000000","6464.76139373791","2021-12-22","Venta Usada","Casa","x-region-de-los-lagos"
"248","6136907","2",NA,80,54,"1","$ 70.000.000"," 70000000","2262.66648780827","2021-12-22","Venta Usada","Casa","x-region-de-los-lagos"
"249","6060107","3",NA,5000,180,"3","UF 9.450,00","292354177.5","9450.00","2021-12-22","Venta Usada","Casa","x-region-de-los-lagos"
"250","5718634","4",NA,5000,261,"7","UF 16.800,00","519740760","16800.00","2021-12-22","Venta Usada","Casa","x-region-de-los-lagos"
"251","5779107","9",NA,500,258,"3","UF 7.100,00","219652345","7100.00","2021-12-22","Venta Usada","Casa","x-region-de-los-lagos"
"252","5851794","4",NA,230,95,"1","$ 65.000.000"," 65000000","2101.04745296482","2021-12-22","Venta Usada","Casa","x-region-de-los-lagos"
"253","5152205","10",NA,50000,480,"8","UF 20.500,00","634207475","20500.00","2021-12-22","Venta Usada","Casa","x-region-de-los-lagos"
"254","6135484","4",NA,480,480,"2","UF 22.726,00","703073125.7","22726.00","2021-12-22","Venta Usada","Casa","x-region-de-los-lagos"
"255","6200836","3",NA,407,85,"1","$ 95.000.000"," 95000000","3070.76166202551","2021-12-21","Venta Usada","Casa","x-region-de-los-lagos"
"256","5708520","3",NA,5240,150,"2","UF 11.700,00","361962315","11700.00","2021-12-21","Venta Usada","Casa","x-region-de-los-lagos"
"257","6198541","4",NA,1050,216,NA,"$ 218.000.000"," 218000000","7046.58991917432","2021-12-21","Venta Usada","Casa","x-region-de-los-lagos"
"258","6198488","4",NA,144,94,"2","UF 3.250,00","100545087.5","3250.00","2021-12-21","Venta Usada","Casa","x-region-de-los-lagos"
"259","6197035","9",NA,10450,332,NA,"UF 13.750,00","425383062.5","13750.00","2021-12-21","Venta Usada","Casa","x-region-de-los-lagos"
"260","6196819","4",NA,5000,271,"3","UF 13.500,00","417648825","13500.00","2021-12-21","Venta Usada","Casa","x-region-de-los-lagos"
"261","5012316",NA,NA,1150,800,NA,"UF 26.990,00","834988280.5","26990.00","2021-12-20","Venta Usada","Casa","x-region-de-los-lagos"
"262","5152129","3",NA,5000,176,"4","UF 7.500,00","232027125","7500.00","2021-12-20","Venta Usada","Casa","x-region-de-los-lagos"
"263","5838138","5",NA,16000,400,NA,"UF 27.500,00","850766125","27500.00","2021-12-20","Venta Usada","Casa","x-region-de-los-lagos"
"264","5385904","5",NA,9380,310,"2","UF 22.800,00","705362460","22800.00","2021-12-19","Venta Usada","Casa","x-region-de-los-lagos"
"265","5847050","2",NA,86,20000,"4","UF 5.600,00","173246920","5600.00","2021-12-19","Venta Usada","Casa","x-region-de-los-lagos"
"266","5902446","2",NA,120,50,"1","$ 64.000.000"," 64000000","2068.72364599613","2021-12-19","Venta Usada","Casa","x-region-de-los-lagos"
"267","5638086","5",NA,185,260,NA,"UF 6.330,00","195830893.5","6330.00","2021-12-18","Venta Usada","Casa","x-region-de-los-lagos"
"268","5719978","6",NA,520,160,NA,"UF 10.500,00","324837975","10500.00","2021-12-18","Venta Usada","Casa","x-region-de-los-lagos"
"269","6030517","3",NA,145,54,"1","UF 1.490,00","46096055.5","1490.00","2021-12-18","Venta Usada","Casa","x-region-de-los-lagos"
"270","5643882","3",NA,300,120,"2","UF 5.528,00","171019459.6","5528.00","2021-12-17","Venta Usada","Casa","x-region-de-los-lagos"
"271","6028653","6",NA,NA,NA,"1","$ 105.000.000"," 105000000","3393.9997317124","2021-12-17","Venta Usada","Casa","x-region-de-los-lagos"
"272","2891692","9",NA,10000,600,NA,"UF 19.900,00","615645305","19900.00","2021-12-17","Venta Usada","Casa","x-region-de-los-lagos"
"273","5481188","4",NA,370,370,"6","$ 150.000.000"," 150000000","4848.57104530343","2021-12-17","Venta Usada","Casa","x-region-de-los-lagos"
"274","6027013","3",NA,145,96,"2","UF 4.390,00","135813210.5","4390.00","2021-12-17","Venta Usada","Casa","x-region-de-los-lagos"
"275","6027092","2",NA,110,110,"2","UF 5.670,00","175412506.5","5670.00","2021-12-17","Venta Usada","Casa","x-region-de-los-lagos"
"276","5701728","3",NA,5000,152,"5","UF 9.622,00","297675332.9","9622.00","2021-12-17","Venta Usada","Casa","x-region-de-los-lagos"
"277","5695981","2",NA,993.37,65,NA,"$ 85.000.000"," 85000000","2747.52359233861","2021-12-17","Venta Usada","Casa","x-region-de-los-lagos"
"278","5251571","5",NA,5500,160,"8","UF 10.300,00","318650585","10300.00","2021-12-17","Venta Usada","Casa","x-region-de-los-lagos"
"279","5631490","4",NA,5000,242.5,"6","UF 11.250,00","348040687.5","11250.00","2021-12-17","Venta Usada","Casa","x-region-de-los-lagos"
"280","5473857","3",NA,2530,119.43,"8","UF 8.850,00","273792007.5","8850.00","2021-12-17","Venta Usada","Casa","x-region-de-los-lagos"
"281","5268006","3",NA,70,70,"1","UF 7.500,00","232027125","7500.00","2021-12-17","Venta Usada","Casa","x-region-de-los-lagos"
"282","6187127","3",NA,200,113,"3","$ 110.000.000"," 110000000","3555.61876655585","2021-12-17","Venta Usada","Casa","x-region-de-los-lagos"
"283","5104003","9",NA,5000,600,NA,"$ 650.000.000"," 650000000","21010.4745296482","2021-12-17","Venta Usada","Casa","x-region-de-los-lagos"
"284","6185825","4",NA,192,117,"1","UF 4.473,00","138380977.35","4473.00","2021-12-17","Venta Usada","Casa","x-region-de-los-lagos"
"285","6185814","2",NA,80,54,NA,"$ 70.000.000"," 70000000","2262.66648780827","2021-12-17","Venta Usada","Casa","x-region-de-los-lagos"
"286","5300392","3",NA,165,80,"2","UF 3.000,00","92810850","3000.00","2021-12-17","Venta Usada","Casa","x-region-de-los-lagos"
"287","6185022","2",NA,52,120,"1","$ 53.900.000"," 53900000","1742.25319561237","2021-12-17","Venta Usada","Casa","x-region-de-los-lagos"
"288","6182985","5",NA,5000,175,"6","UF 13.500,00","417648825","13500.00","2021-12-17","Venta Usada","Casa","x-region-de-los-lagos"
"289","5762423","3",NA,5000,230,"2","UF 18.500,00","572333575","18500.00","2021-12-17","Venta Usada","Casa","x-region-de-los-lagos"
"290","5636572","3",NA,2540,217,"6","$ 270.000.000"," 270000000","8727.42788154618","2021-12-16","Venta Usada","Casa","x-region-de-los-lagos"
"291","5626595","6",NA,5000,350,"8","UF 21.000,00","649675950","21000.00","2021-12-16","Venta Usada","Casa","x-region-de-los-lagos"
"292","5888464","3",NA,5000,125,NA,"$ 120.000.000"," 120000000","3878.85683624275","2021-12-16","Venta Nueva","Casa","x-region-de-los-lagos"
"293","6110768","1",NA,160,60,"2","$ 67.000.000"," 67000000","2165.6950669022","2021-12-16","Venta Usada","Casa","x-region-de-los-lagos"
"294","6181548","5",NA,5000,300,NA,"UF 15.000,00","464054250","15000.00","2021-12-16","Venta Nueva","Casa","x-region-de-los-lagos"
"295","6109521","5",NA,185,139,"1","UF 4.890,00","151281685.5","4890.00","2021-12-16","Venta Usada","Casa","x-region-de-los-lagos"
"296","5745077","3",NA,96,96,"2","UF 4.290,00","132719515.5","4290.00","2021-12-16","Venta Usada","Casa","x-region-de-los-lagos"
"297","6181130","7",NA,700,700,NA,"$ 350.000.000"," 350000000","11313.3324390413","2021-12-16","Venta Usada","Casa","x-region-de-los-lagos"
"298","6178867",NA,NA,800,800,"6","UF 27.500,00","850766125","27500.00","2021-12-16","Venta Usada","Casa","x-region-de-los-lagos"
"299","5884144","3",NA,173,57,NA,"$ 73.000.000"," 73000000","2359.63790871434","2021-12-15","Venta Usada","Casa","x-region-de-los-lagos"
"300","5107763","3",NA,5000,228,"2","$ 235.000.000"," 235000000","7596.09463764204","2021-12-15","Venta Usada","Casa","x-region-de-los-lagos"
"301","4020068","6",NA,12000,35,NA,"$ 330.000.000"," 330000000","10666.8562996676","2021-12-15","Venta Usada","Casa","x-region-de-los-lagos"
"302","5438022","2",NA,5000,200,NA,"$ 120.000.000"," 120000000","3878.85683624275","2021-12-15","Venta Usada","Casa","x-region-de-los-lagos"
"303","5261783","10",NA,110,300,NA,"UF 3.400,00","105185630","3400.00","2021-12-15","Venta Usada","Casa","x-region-de-los-lagos"
"304","5691061","3",NA,163,84,"1","UF 3.989,00","123407493.55","3989.00","2021-12-15","Venta Usada","Casa","x-region-de-los-lagos"
"305","5300083","4",NA,7870,126,NA,"UF 3.150,00","97451392.5","3150.00","2021-12-15","Venta Usada","Casa","x-region-de-los-lagos"
"306","6174680","8",NA,0,0,NA,"UF 11.290,00","349278165.5","11290.00","2021-12-15","Venta Usada","Casa","x-region-de-los-lagos"
"307","5952513","3",NA,5000,250,NA,"UF 14.500,00","448585775","14500.00","2021-12-14","Venta Usada","Casa","x-region-de-los-lagos"
"308","6171250","5",NA,521,152,NA,"$ 250.000.000"," 250000000","8080.95174217239","2021-12-14","Venta Usada","Casa","x-region-de-los-lagos"
"309","5847482","5",NA,1673,320,"2","UF 6.117,00","189241323.15","6117.00","2021-12-14","Venta Usada","Casa","x-region-de-los-lagos"
"310","5847331","4",NA,144,100,"1","UF 3.657,00","113136426.15","3657.00","2021-12-14","Venta Usada","Casa","x-region-de-los-lagos"
"311","5847291","2",NA,144,60,"2","UF 2.094,00","64781973.3","2094.00","2021-12-14","Venta Usada","Casa","x-region-de-los-lagos"
"312","5847188","3",NA,86,700,"3","UF 4.125,00","127614918.75","4125.00","2021-12-14","Venta Usada","Casa","x-region-de-los-lagos"
"313","5847077","5",NA,198,20000,"4","UF 11.800,00","365056010","11800.00","2021-12-14","Venta Usada","Casa","x-region-de-los-lagos"
"314","5847024","4",NA,155,5000,"4","UF 5.710,00","176649984.5","5710.00","2021-12-14","Venta Usada","Casa","x-region-de-los-lagos"
"315","5846997","10",NA,366,5000,"4","UF 8.380,00","259251641","8380.00","2021-12-14","Venta Nueva","Casa","x-region-de-los-lagos"
"316","5846933","3",NA,236,5000,"3","UF 7.965,00","246412806.75","7965.00","2021-12-14","Venta Nueva","Casa","x-region-de-los-lagos"
"317","5846885","4",NA,240,7000,"3","UF 10.800,00","334119060","10800.00","2021-12-14","Venta Nueva","Casa","x-region-de-los-lagos"
"318","5846824","7",NA,9900,477,"4","UF 20.000,00","618739000","20000.00","2021-12-14","Venta Usada","Casa","x-region-de-los-lagos"
"319","5293254","4",NA,100,100,NA,"UF 2.215,00","68525344.25","2215.00","2021-12-14","Venta Usada","Casa","x-region-de-los-lagos"
"320","5523556","3",NA,5000,272,"3","UF 10.000,00","309369500","10000.00","2021-12-14","Venta Usada","Casa","x-region-de-los-lagos"
"321","5434682","2",NA,9794,9794,"1","UF 9.990,00","309060130.5","9990.00","2021-12-14","Venta Usada","Casa","x-region-de-los-lagos"
"322","5818118","3",NA,5000,120,NA,"UF 7.100,00","219652345","7100.00","2021-12-14","Venta Usada","Casa","x-region-de-los-lagos"
"323","5628366","3",NA,341,341,"5","UF 76.000.000,00","2351208200000","76000000.00","2021-12-14","Venta Usada","Casa","x-region-de-los-lagos"
"324","5300121","4",NA,162,146,"1","UF 4.200,00","129935190","4200.00","2021-12-14","Venta Usada","Casa","x-region-de-los-lagos"
"325","3684393","4",NA,1200,600,NA,"UF 16.000,00","494991200","16000.00","2021-12-14","Venta Usada","Casa","x-region-de-los-lagos"
"326","5577139","3",NA,5000,5000,"1","$ 220.000.000"," 220000000","7111.2375331117","2021-12-14","Venta Usada","Casa","x-region-de-los-lagos"
"327","6168649","4",NA,144,94,"2","UF 3.220,00","99616979","3220.00","2021-12-14","Venta Usada","Casa","x-region-de-los-lagos"
"328","6168622","4",NA,1050,216,NA,"$ 218.000.000"," 218000000","7046.58991917432","2021-12-14","Venta Usada","Casa","x-region-de-los-lagos"
"329","6168606","3",NA,225,125,"2","UF 7.375,00","228160006.25","7375.00","2021-12-14","Venta Usada","Casa","x-region-de-los-lagos"
"330","6168482","5",NA,5000,160,NA,"UF 13.000,00","402180350","13000.00","2021-12-14","Venta Usada","Casa","x-region-de-los-lagos"
